epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.072,1.3909,1.72165,1.0727,0.61137,0.69919,0.63345,0.43073,1.13277,1.3757,0.9902,0.000413411,0.000413411,0.000413411
2,680.615,1.18797,0.90361,1.00867,0.71764,0.55495,0.55025,0.37023,1.14908,0.95596,1.01591,0.000825969,0.000825969,0.000825969
3,997.448,1.15388,0.82145,0.99288,0.89265,0.61417,0.70968,0.48935,1.13429,0.79887,1.00069,0.0012344,0.0012344,0.0012344
4,1319.15,1.12108,0.77771,0.98753,0.60113,0.76926,0.72811,0.51943,1.0931,0.75656,0.98957,0.00123144,0.00123144,0.00123144
5,1632.97,1.09065,0.71277,0.97194,0.70211,0.87777,0.8491,0.59161,1.06607,0.69693,0.99825,0.00122525,0.00122525,0.00122525
6,1953.08,1.10179,0.70216,0.98314,0.89114,0.67501,0.81249,0.58033,1.08254,0.64692,0.98575,0.00121906,0.00121906,0.00121906
7,2267.79,1.07904,0.67635,0.97349,0.77393,0.74555,0.83256,0.62225,1.05388,0.63963,0.98625,0.00121287,0.00121287,0.00121287
8,2583.81,1.05592,0.66055,0.96634,0.70391,0.81847,0.80369,0.58522,1.04335,0.6528,0.97607,0.00120669,0.00120669,0.00120669
9,2897.93,1.05424,0.63436,0.96751,0.79386,0.79833,0.85057,0.61113,1.02107,0.6021,0.96651,0.0012005,0.0012005,0.0012005
10,3210.6,1.04653,0.62484,0.96521,0.78775,0.84433,0.85679,0.61319,1.03963,0.59639,0.976,0.00119431,0.00119431,0.00119431
11,3532.81,1.03588,0.61508,0.95538,0.87739,0.81541,0.89113,0.65361,1.02992,0.5774,0.97326,0.00118812,0.00118812,0.00118812
12,3848.07,1.02884,0.60594,0.95835,0.87561,0.86881,0.93887,0.69342,1.01247,0.57903,0.96964,0.00118194,0.00118194,0.00118194
13,4164.75,1.01192,0.59381,0.95044,0.8819,0.88735,0.93096,0.66669,1.03394,0.59139,0.97202,0.00117575,0.00117575,0.00117575
14,4479.26,1.01093,0.59265,0.95611,0.79851,0.92045,0.91388,0.66495,1.06306,0.58442,0.99335,0.00116956,0.00116956,0.00116956
